from_port,to_port,from_lat,from_lon,to_lat,to_lon,count,route_key
JAVA HEAD,BRISTOL CHANNEL,-6.75,105.2,51.45,-2.58,132,"('BRISTOL CHANNEL', 'JAVA HEAD')"
JAVA,SPITHEAD,-7.5,110.0,50.525000000000006,-1.115,132,"('JAVA', 'SPITHEAD')"
CANTON,TEXEL,19.98,113.85,52.615,4.175000000000001,132,"('CANTON', 'TEXEL')"
SURINAME,HELLEVOETSLUIS,6.095000000000001,-54.485,51.81,4.08,132,"('HELLEVOETSLUIS', 'SURINAME')"
BRAMSPUNT,MIDDELBURG,6.07,-55.17,51.5,3.6,131,"('BRAMSPUNT', 'MIDDELBURG')"
PLYMOUTH,PENANG (VIA FUNCHAL),50.35,-4.16,5.42,100.32,131,"('PENANG (VIA FUNCHAL)', 'PLYMOUTH')"
SURINAME,ROTTERDAM,6.095000000000001,-54.485,51.0,1.11,131,"('ROTTERDAM', 'SURINAME')"
HARTLEPOOL,CHINA,54.38,0.4,31.2,121.5,131,"('CHINA', 'HARTLEPOOL')"
RIO DE JANEIRO,ANTWERPEN,-22.9,-43.16,51.22,4.4,131,"('ANTWERPEN', 'RIO DE JANEIRO')"
HARTLEPOOL,BATAVIA,54.38,0.4,-6.1,106.86,131,"('BATAVIA', 'HARTLEPOOL')"
BOMBAY,DOWNS,18.93,72.85,51.2,1.4,130,"('BOMBAY', 'DOWNS')"
MIDDELBURG,CABO DE GOEDE HOOP,51.5,3.6,-34.06,18.15,130,"('CABO DE GOEDE HOOP', 'MIDDELBURG')"
BATAVIA,FALMOUTH,-6.1,106.86,50.15,-5.07,130,"('BATAVIA', 'FALMOUTH')"
MIDDELBURG,RIO BERBICE,51.5,3.6,6.3,-57.5,129,"('MIDDELBURG', 'RIO BERBICE')"
GUADELOUPE,BREST,16.25,-61.58,48.34,-5.385,129,"('BREST', 'GUADELOUPE')"
CURACAO,NIEUWEDIEP,12.21,-68.34,52.155,3.27,129,"('CURACAO', 'NIEUWEDIEP')"
DOVER,MADRAS,51.48,1.52,13.08,80.27,129,"('DOVER', 'MADRAS')"
CURACAO,ST EUSTACIUS,12.21,-68.34,17.5,-62.97,128,"('CURACAO', 'ST EUSTACIUS')"
MANILA,EL CALLAO,14.15,120.5,-12.03,-77.16,128,"('EL CALLAO', 'MANILA')"
SPITHEAD,PENANG VIA SIMONS BAY,50.525000000000006,-1.115,5.42,100.32,128,"('PENANG VIA SIMONS BAY', 'SPITHEAD')"
BALI (JAVA),UK,-7.5,110.0,51.5,-0.1,127,"('BALI (JAVA)', 'UK')"
PADANG,HELLEVOETSLUIS,-1.095,100.375,51.81,4.08,127,"('HELLEVOETSLUIS', 'PADANG')"
CADIZ,MANILA,36.53,-6.3,14.15,120.5,127,"('CADIZ', 'MANILA')"
PORT LOUIS,HELLEVOETSLUIS,-20.17,57.5,51.81,4.08,127,"('HELLEVOETSLUIS', 'PORT LOUIS')"
JAVA HEAD VIA ST HELENA,DOWNS UK,-6.75,105.2,51.2,1.4,126,"('DOWNS UK', 'JAVA HEAD VIA ST HELENA')"
CAPE COAST,BARBADOS,5.1,-1.25,13.095,-58.93,126,"('BARBADOS', 'CAPE COAST')"
PORT EGMONT,SANDWICH ISLANDS,-51.7,-57.85,21.3,-157.8,125,"('PORT EGMONT', 'SANDWICH ISLANDS')"
JAMAICA,DOWNS,18.1,-77.3,51.2,1.4,125,"('DOWNS', 'JAMAICA')"
SOERABAJA,ROTTERDAM,-7.23,112.7,51.0,1.11,125,"('ROTTERDAM', 'SOERABAJA')"
JAVA,NIEUWEDIEP,-7.5,110.0,52.155,3.27,124,"('JAVA', 'NIEUWEDIEP')"
CADIZ,SPITHEAD,36.53,-6.3,50.525000000000006,-1.115,124,"('CADIZ', 'SPITHEAD')"
MADEIRA,BOMBAY HARBOUR,32.95,-15.88,18.93,72.85,124,"('BOMBAY HARBOUR', 'MADEIRA')"
RIO DE JANEIRO,VLISSINGEN,-22.9,-43.16,51.45,3.58,124,"('RIO DE JANEIRO', 'VLISSINGEN')"
FALMOUTH,MADRAS,50.15,-5.07,13.08,80.27,123,"('FALMOUTH', 'MADRAS')"
SPITHEAD,MALDONADO,50.525000000000006,-1.115,-34.92,-54.96,123,"('MALDONADO', 'SPITHEAD')"
NEDERLAND,PARAMARIBO,52.0,5.0,5.83,-55.15,123,"('NEDERLAND', 'PARAMARIBO')"
CURACAO,MIDDELBURG,12.21,-68.34,51.5,3.6,122,"('CURACAO', 'MIDDELBURG')"
HELLEVOETSLUIS,ST EUSTATIUS,51.81,4.08,17.5,-62.97,122,"('HELLEVOETSLUIS', 'ST EUSTATIUS')"
MACAO,ST HELENA,22.17,113.54,-16.02,-5.08,121,"('MACAO', 'ST HELENA')"
NIEUWE DIEP,JAVA,52.77,4.42,-7.5,110.0,121,"('JAVA', 'NIEUWE DIEP')"
DOWNS,COLOMBO,51.2,1.4,6.91,79.86,120,"('COLOMBO', 'DOWNS')"
EL FERROL,MONTEVIDEO,43.0,-9.5,-34.89,-56.21,120,"('EL FERROL', 'MONTEVIDEO')"
JAVA HEAD,SPITHEAD,-6.75,105.2,50.525000000000006,-1.115,120,"('JAVA HEAD', 'SPITHEAD')"
SPITHEAD,BOMBAY,50.525000000000006,-1.115,18.93,72.85,120,"('BOMBAY', 'SPITHEAD')"
SOERABAYA,NIEUWEDIEP,-7.23,112.7,52.155,3.27,120,"('NIEUWEDIEP', 'SOERABAYA')"
BATAVIA,PLYMOUTH,-6.1,106.86,50.35,-4.16,120,"('BATAVIA', 'PLYMOUTH')"
DOWNS,MALACCA,51.2,1.4,2.17,102.24,119,"('DOWNS', 'MALACCA')"
PORT ROYAL JAMAICA,PLYMOUTH,18.1,-77.3,50.35,-4.16,119,"('PLYMOUTH', 'PORT ROYAL JAMAICA')"
DESCONOCIDO (CREO QUE ACAPULCO),SAN BLAS,16.85,-99.9,21.9,-106.96,118,"('DESCONOCIDO (CREO QUE ACAPULCO)', 'SAN BLAS')"
JAVA,BROUWERSHAVEN,-7.5,110.0,51.75,3.9,118,"('BROUWERSHAVEN', 'JAVA')"
SPITHEAD,PORT ROYAL,50.525000000000006,-1.115,17.94,-76.84,118,"('PORT ROYAL', 'SPITHEAD')"
PUNTO GALE,NEDERLAND,6.02,80.22,52.0,5.0,118,"('NEDERLAND', 'PUNTO GALE')"
HELLEVOETSLUIS,KAAP DE GOEDE HOOP,51.81,4.08,-34.12,18.23,118,"('HELLEVOETSLUIS', 'KAAP DE GOEDE HOOP')"
DOWNS UK,PENANG,51.2,1.4,5.42,100.32,117,"('DOWNS UK', 'PENANG')"
NEDERLAND,ELMINA,52.0,5.0,5.08,-1.34,117,"('ELMINA', 'NEDERLAND')"
DOWNS,CALCUTTA,51.2,1.4,20.47,87.27,117,"('CALCUTTA', 'DOWNS')"
SPITHEAD,MOCHA,50.525000000000006,-1.115,13.32,43.25,116,"('MOCHA', 'SPITHEAD')"
"PORT ROYAL, JAMAICA",SPITHEAD,18.1,-77.3,50.525000000000006,-1.115,116,"('PORT ROYAL, JAMAICA', 'SPITHEAD')"
RIO DE JANEIRO,"COLOMBO, CEYLON",-22.9,-43.16,7.0,80.0,116,"('COLOMBO, CEYLON', 'RIO DE JANEIRO')"
SANTA CRUZ,TAFELBAAI,28.45,-16.25,-34.225,18.175,116,"('SANTA CRUZ', 'TAFELBAAI')"
UK,JAVA (XMAS ISLAND),51.5,-0.1,-7.5,110.0,115,"('JAVA (XMAS ISLAND)', 'UK')"
BANJOEWANGIE,BROUWERSHAVEN,-8.2,114.35,51.75,3.9,115,"('BANJOEWANGIE', 'BROUWERSHAVEN')"
CHARILLO,SOERABAYA,-12.67,-77.06,-7.23,112.7,115,"('CHARILLO', 'SOERABAYA')"
GALLE,ROTTERDAM,6.0,80.2,51.0,1.11,115,"('GALLE', 'ROTTERDAM')"
HELLEVOETSLUIS,CURACAO,51.81,4.08,12.21,-68.34,114,"('CURACAO', 'HELLEVOETSLUIS')"
JAVA,VLISSINGEN,-7.5,110.0,51.45,3.58,114,"('JAVA', 'VLISSINGEN')"
DOWNS,PENANG VIA ST HELENA,51.2,1.4,5.42,100.32,114,"('DOWNS', 'PENANG VIA ST HELENA')"
BATAVIA,NIEUWENDIEP,-6.1,106.86,52.28,3.28,113,"('BATAVIA', 'NIEUWENDIEP')"
SPITHEAD,SUMBA (OFF JAVA),50.525000000000006,-1.115,-7.5,110.0,113,"('SPITHEAD', 'SUMBA (OFF JAVA)')"
NIEUWEDIEP,SAMARANG,52.155,3.27,-6.65,110.32,113,"('NIEUWEDIEP', 'SAMARANG')"
MADEIRA,BARBADOS,32.95,-15.88,13.095,-58.93,112,"('BARBADOS', 'MADEIRA')"
FERROL,BREST,43.6,-8.65,48.34,-5.385,112,"('BREST', 'FERROL')"
MONTEVIDEO,VALPARAISO,-34.89,-56.21,-33.08,-71.67,111,"('MONTEVIDEO', 'VALPARAISO')"
COLOMBO,BATAVIA,6.91,79.86,-6.1,106.86,111,"('BATAVIA', 'COLOMBO')"
HELLEVOETSLUIS,KAAPSTAD,51.81,4.08,-34.68,18.12,111,"('HELLEVOETSLUIS', 'KAAPSTAD')"
SPITSBERGEN,ROTTERDAM,60.39,5.32,51.0,1.11,110,"('ROTTERDAM', 'SPITSBERGEN')"
TRINCOMALEE,SPITHEAD,8.57,81.22,50.525000000000006,-1.115,110,"('SPITHEAD', 'TRINCOMALEE')"
ST HELENA,HELLEVOETSLUIS,-16.02,-5.08,51.81,4.08,109,"('HELLEVOETSLUIS', 'ST HELENA')"
SURINAME,AMSTERDAM,6.095000000000001,-54.485,52.77,3.97,109,"('AMSTERDAM', 'SURINAME')"
PRINCE OF WALES ISLAND (PENANG),GRAVESEND,5.42,100.32,51.44,0.37,109,"('GRAVESEND', 'PRINCE OF WALES ISLAND (PENANG)')"
PORTSMOUTH,ANJER ROAD JAVA,50.2,-1.58,-7.5,110.0,109,"('ANJER ROAD JAVA', 'PORTSMOUTH')"
TRINCOMALEE,LISBON,8.57,81.22,38.68,-9.1,107,"('LISBON', 'TRINCOMALEE')"
NIEUWENDIEP,BATAVIA,52.28,3.28,-6.1,106.86,107,"('BATAVIA', 'NIEUWENDIEP')"
TAFELBAAI,CORK,-34.225,18.175,51.35,-8.815,107,"('CORK', 'TAFELBAAI')"
DOWNS,JAVA HEAD,51.2,1.4,-6.75,105.2,107,"('DOWNS', 'JAVA HEAD')"
PLYMOUTH,ST AUGUSTINES,50.35,-4.16,-23.4,43.66,106,"('PLYMOUTH', 'ST AUGUSTINES')"
ST HELENA,TEXEL,-16.02,-5.08,52.615,4.175000000000001,105,"('ST HELENA', 'TEXEL')"
RAMMEKENS,SIMONSBAAI,51.45,3.65,-34.53,18.6,105,"('RAMMEKENS', 'SIMONSBAAI')"
NIEUWE DIEP,BATAVIA,52.77,4.42,-6.1,106.86,105,"('BATAVIA', 'NIEUWE DIEP')"
CORK,TRINCOMALEE VIA FUNCHAL,51.35,-8.815,8.58,81.23,104,"('CORK', 'TRINCOMALEE VIA FUNCHAL')"
VLISSINGEN,SURINAME,51.45,3.58,6.095000000000001,-54.485,104,"('SURINAME', 'VLISSINGEN')"
MONTAGUE ISLE,SANDWICH ISLANDS,59.7,-148.4,21.3,-157.8,104,"('MONTAGUE ISLE', 'SANDWICH ISLANDS')"
BARBADOS,UK,13.095,-58.93,51.5,-0.1,102,"('BARBADOS', 'UK')"
LE HAVRE,NEW YORK,49.49,0.11,40.75,-73.97,102,"('LE HAVRE', 'NEW YORK')"
TEXEL,PARAMARIBO,52.615,4.175000000000001,5.83,-55.15,102,"('PARAMARIBO', 'TEXEL')"
BREST,FORT ROYAL,48.34,-5.385,14.59,-61.07,102,"('BREST', 'FORT ROYAL')"
BATAVIA,UK,-6.1,106.86,51.5,-0.1,102,"('BATAVIA', 'UK')"
BATAVIA,PARAMARIBO,-6.1,106.86,5.83,-55.15,102,"('BATAVIA', 'PARAMARIBO')"
SURINAME,TEXEL,6.095000000000001,-54.485,52.615,4.175000000000001,101,"('SURINAME', 'TEXEL')"
LIMA (PISCO),CORK,-12.04,-77.03,51.35,-8.815,101,"('CORK', 'LIMA (PISCO)')"
CÁDIZ,SANTA CATALINA,36.525000000000006,-6.41,-27.62,-48.58,100,"('CÁDIZ', 'SANTA CATALINA')"
AMSTERDAM,ST GEORGE D'ELMINAR,52.77,3.97,5.08,-1.35,100,"('AMSTERDAM', ""ST GEORGE D'ELMINAR"")"
NIEUWEDIEP,JAVA,52.155,3.27,-7.5,110.0,100,"('JAVA', 'NIEUWEDIEP')"
DOWNS,CHINA,51.2,1.4,31.2,121.5,100,"('CHINA', 'DOWNS')"
MONTEREY,LA CÔTE DE CHINE,36.66,-121.9,22.17,114.81,100,"('LA CÔTE DE CHINE', 'MONTEREY')"
CALCUTTA,TABLE BAY,20.47,87.27,-33.9,18.4,100,"('CALCUTTA', 'TABLE BAY')"
CAP,ROCHEFORT,19.74,-72.19,46.515,-1.97,99,"('CAP', 'ROCHEFORT')"
LIVERPOOL,PORT PHILIP,53.2,-4.63,-37.9,144.9,99,"('LIVERPOOL', 'PORT PHILIP')"
BOMBAY,PLYMOUTH,18.93,72.85,50.35,-4.16,99,"('BOMBAY', 'PLYMOUTH')"
VLISSINGEN,CURACAO,51.45,3.58,12.21,-68.34,99,"('CURACAO', 'VLISSINGEN')"
NIEUWEDIEP,PADANG,52.155,3.27,-1.095,100.375,98,"('NIEUWEDIEP', 'PADANG')"
KAAP DE GOEDE HOOP,AMSTERDAM,-34.12,18.23,52.77,3.97,98,"('AMSTERDAM', 'KAAP DE GOEDE HOOP')"
ST KITTS,SPITHEAD,17.3,-62.73,50.525000000000006,-1.115,98,"('SPITHEAD', 'ST KITTS')"
FALMOUTH,ST AUGUSTINES,50.15,-5.07,-23.4,43.66,98,"('FALMOUTH', 'ST AUGUSTINES')"
CURAÇAO,VLISSINGEN,12.34,-68.5,51.45,3.58,97,"('CURAÇAO', 'VLISSINGEN')"
MADEIRA,ZANZIBAR,32.95,-15.88,-6.16,39.19,97,"('MADEIRA', 'ZANZIBAR')"
ST CATHERINE,TALCAGUANA,-27.35,-47.67,-36.76,-73.17,97,"('ST CATHERINE', 'TALCAGUANA')"
HELLEVOETSLUIS,TAFELBAAI,51.81,4.08,-34.225,18.175,96,"('HELLEVOETSLUIS', 'TAFELBAAI')"
ISLE D'AIX,LOUISBOURG,46.58,-4.67,46.22,-59.29,96,"(""ISLE D'AIX"", 'LOUISBOURG')"
KAAP DE GOEDE HOOP,TEXEL,-34.12,18.23,52.615,4.175000000000001,96,"('KAAP DE GOEDE HOOP', 'TEXEL')"
SPITHEAD,ANTIGUA,50.525000000000006,-1.115,17.12,-61.85,95,"('ANTIGUA', 'SPITHEAD')"
VLISSINGEN,CABO DE GOEDE HOOP,51.45,3.58,-34.06,18.15,95,"('CABO DE GOEDE HOOP', 'VLISSINGEN')"
PENANG,ST HELENA,5.42,100.32,-16.02,-5.08,95,"('PENANG', 'ST HELENA')"
SAO TOME,VLISSINGEN,0.33,6.74,51.45,3.58,95,"('SAO TOME', 'VLISSINGEN')"
BUENOS AIRES,LA CORUÑA,-34.63,-58.33,43.36,-8.36,94,"('BUENOS AIRES', 'LA CORUÑA')"
MIDDELBURG,ELMINA,51.5,3.6,5.08,-1.34,94,"('ELMINA', 'MIDDELBURG')"
ST EUSTACIUS,SURINAME,17.5,-62.97,6.095000000000001,-54.485,93,"('ST EUSTACIUS', 'SURINAME')"
BOMBAY,MADRAS,18.93,72.85,13.08,80.27,93,"('BOMBAY', 'MADRAS')"
FALMOUTH,BARBADOS,50.15,-5.07,13.095,-58.93,93,"('BARBADOS', 'FALMOUTH')"
PORT EGMONT,SPITHEAD,-51.7,-57.85,50.525000000000006,-1.115,92,"('PORT EGMONT', 'SPITHEAD')"
NEDERLAND,RIO DE JANEIRO,52.0,5.0,-22.9,-43.16,92,"('NEDERLAND', 'RIO DE JANEIRO')"
SPITHEAD,JOHANNA,50.525000000000006,-1.115,-12.13,44.4,92,"('JOHANNA', 'SPITHEAD')"
ANTWERPEN,RIO DE JANEIRO,51.22,4.4,-22.9,-43.16,92,"('ANTWERPEN', 'RIO DE JANEIRO')"
ST EUSTATIUS,MIDDELBURG,17.5,-62.97,51.5,3.6,91,"('MIDDELBURG', 'ST EUSTATIUS')"
SOERABAJA,NEDERLAND,-7.23,112.7,52.0,5.0,91,"('NEDERLAND', 'SOERABAJA')"
NEDERLAND,MONTEVIDEO,52.0,5.0,-34.89,-56.21,91,"('MONTEVIDEO', 'NEDERLAND')"
SPITHEAD,TRINCOMALEE,50.525000000000006,-1.115,8.57,81.22,90,"('SPITHEAD', 'TRINCOMALEE')"
BATAVIA,NAGASAKI,-6.1,106.86,32.75,129.88,90,"('BATAVIA', 'NAGASAKI')"
PLYMOUTH,BOMBAY,50.35,-4.16,18.93,72.85,90,"('BOMBAY', 'PLYMOUTH')"
SAMARANG,TEXEL,-6.65,110.32,52.615,4.175000000000001,89,"('SAMARANG', 'TEXEL')"
MONTEVIDEO,SPITHEAD,-34.89,-56.21,50.525000000000006,-1.115,89,"('MONTEVIDEO', 'SPITHEAD')"
EL CALLAO,RIO DE JANEIRO,-12.03,-77.16,-22.9,-43.16,89,"('EL CALLAO', 'RIO DE JANEIRO')"
BARBADOS,SPITHEAD,13.095,-58.93,50.525000000000006,-1.115,88,"('BARBADOS', 'SPITHEAD')"
PORT JACKSON AUSTRALIA,ST HELENA,-25.0,135.0,-16.02,-5.08,88,"('PORT JACKSON AUSTRALIA', 'ST HELENA')"
GIBRALTAR,SPITHEAD,36.19,-5.21,50.525000000000006,-1.115,87,"('GIBRALTAR', 'SPITHEAD')"
CÁDIZ,LA HABANA,36.525000000000006,-6.41,23.48,-80.91,87,"('CÁDIZ', 'LA HABANA')"
ST JAGO,ST HELENA,14.92,-23.52,-16.02,-5.08,87,"('ST HELENA', 'ST JAGO')"
PLYMOUTH,JAMAICA,50.35,-4.16,18.1,-77.3,87,"('JAMAICA', 'PLYMOUTH')"
RIO DE JANEIRO,PORT JACKSON AUSTRALIA,-22.9,-43.16,-25.0,135.0,87,"('PORT JACKSON AUSTRALIA', 'RIO DE JANEIRO')"
PORT ROYAL,SPITHEAD,17.94,-76.84,50.525000000000006,-1.115,86,"('PORT ROYAL', 'SPITHEAD')"
LISBON,PLYMOUTH,38.68,-9.1,50.35,-4.16,86,"('LISBON', 'PLYMOUTH')"
NEDERLAND,SIMONSBAAI,52.0,5.0,-34.53,18.6,85,"('NEDERLAND', 'SIMONSBAAI')"
TEXEL,SAN SEBASTIAN,52.615,4.175000000000001,-23.8,-45.6,85,"('SAN SEBASTIAN', 'TEXEL')"
KAAPSTAD,BERGEN,-34.68,18.12,60.4,5.3,85,"('BERGEN', 'KAAPSTAD')"
PLYMOUTH,HALIFAX (CHABUKTA HARBOUR),50.35,-4.16,51.5,-0.1,84,"('HALIFAX (CHABUKTA HARBOUR)', 'PLYMOUTH')"
PLYMOUTH,MAURITIUS,50.35,-4.16,-20.17,57.5,84,"('MAURITIUS', 'PLYMOUTH')"
DOWNS UK,JAVA HEAD,51.2,1.4,-6.75,105.2,84,"('DOWNS UK', 'JAVA HEAD')"
CURACAO,SURINAME,12.21,-68.34,6.095000000000001,-54.485,84,"('CURACAO', 'SURINAME')"
RIO BERBICE,MIDDELBURG,6.3,-57.5,51.5,3.6,83,"('MIDDELBURG', 'RIO BERBICE')"
MALACCA,ST HELENA,2.17,102.24,-16.02,-5.08,83,"('MALACCA', 'ST HELENA')"
HELLEVOETSLUIS,BUENOS AIRES,51.81,4.08,-34.63,-58.33,83,"('BUENOS AIRES', 'HELLEVOETSLUIS')"
SURINAME,LISSABON,6.095000000000001,-54.485,39.0,-9.65,82,"('LISSABON', 'SURINAME')"
ST EUSTATIUS,CURACAO,17.5,-62.97,12.21,-68.34,82,"('CURACAO', 'ST EUSTATIUS')"
CURAÇAO,NEDERLAND,12.34,-68.5,52.0,5.0,81,"('CURAÇAO', 'NEDERLAND')"
AMSTERDAM,KAAPSTAD,52.77,3.97,-34.68,18.12,81,"('AMSTERDAM', 'KAAPSTAD')"
FALMOUTH,DEMERARA,50.15,-5.07,6.8,-58.15,81,"('DEMERARA', 'FALMOUTH')"
SIMONSBAAI,PUNTO GALLE,-34.53,18.6,6.03,80.22,81,"('PUNTO GALLE', 'SIMONSBAAI')"
BATAVIA,BAIJ VAN DILAGOA,-6.1,106.86,-26.0,32.75,81,"('BAIJ VAN DILAGOA', 'BATAVIA')"
ROTTERDAM,NEW YORK,51.0,1.11,40.75,-73.97,80,"('NEW YORK', 'ROTTERDAM')"
RIO DE JANEIRO,RIO DE LA PLATA,-22.9,-43.16,-35.0,-54.78,80,"('RIO DE JANEIRO', 'RIO DE LA PLATA')"
BATAVIA,SAN FRANCISCO,-6.1,106.86,37.5,-122.68,80,"('BATAVIA', 'SAN FRANCISCO')"
VLISSINGEN,TAFELBAAI,51.45,3.58,-34.225,18.175,80,"('TAFELBAAI', 'VLISSINGEN')"
NEDERLAND,KAAP DE GOEDE HOOP,52.0,5.0,-34.12,18.23,80,"('KAAP DE GOEDE HOOP', 'NEDERLAND')"
CARLISLE BAY FALKLAND ISLANDS,PLYMOUTH,-51.8,-59.0,50.35,-4.16,80,"('CARLISLE BAY FALKLAND ISLANDS', 'PLYMOUTH')"
BREST,CAP,48.34,-5.385,19.74,-72.19,79,"('BREST', 'CAP')"
SIMONSBAAI,HELLEVOETSLUIS,-34.53,18.6,51.81,4.08,78,"('HELLEVOETSLUIS', 'SIMONSBAAI')"
ST GEORGE D'ELMINA,NIEUWE DIEP,5.08,-1.34,52.77,4.42,78,"('NIEUWE DIEP', ""ST GEORGE D'ELMINA"")"
SURINAME,BERGEN (NORWAY),6.095000000000001,-54.485,60.39,5.32,78,"('BERGEN (NORWAY)', 'SURINAME')"
CAYENNE,BERGEN (NORWAY),4.845000000000001,-52.175,60.39,5.32,78,"('BERGEN (NORWAY)', 'CAYENNE')"
SURINAME,BERGEN,6.095000000000001,-54.485,60.4,5.3,78,"('BERGEN', 'SURINAME')"
"ST THOMAS, GULF OF GUINEA",SPITHEAD,18.34,-64.93,50.525000000000006,-1.115,77,"('SPITHEAD', 'ST THOMAS, GULF OF GUINEA')"
MONTEVIDEO,CALLAO (LIMA),-34.89,-56.21,-12.07,-77.15,76,"('CALLAO (LIMA)', 'MONTEVIDEO')"
MADRAS,"MAURITIUS, BATAVIA",13.08,80.27,-20.2,57.5,76,"('MADRAS', 'MAURITIUS, BATAVIA')"
TABLE BAY TOWARDS MADAGASCAR,TABLE BAY,-33.9,18.4,-33.9,18.4,76,"('TABLE BAY', 'TABLE BAY TOWARDS MADAGASCAR')"
PORT LOUIS,TABLE BAY,-20.17,57.5,-33.9,18.4,76,"('PORT LOUIS', 'TABLE BAY')"
ASCENSION,SPITHEAD,-7.95,-14.37,50.525000000000006,-1.115,76,"('ASCENSION', 'SPITHEAD')"
KAAP DE GOEDE HOOP,NEDERLAND,-34.12,18.23,52.0,5.0,75,"('KAAP DE GOEDE HOOP', 'NEDERLAND')"
TRINCOMALEE,TABLE BAY,8.57,81.22,-33.9,18.4,75,"('TABLE BAY', 'TRINCOMALEE')"
PORT ROYAL,LEITH,17.94,-76.84,55.98,-3.17,75,"('LEITH', 'PORT ROYAL')"
CAVITÉ,TERNAL,14.5,120.92,45.22,137.48,75,"('CAVITÉ', 'TERNAL')"
TEXEL,ST EUSTATIUS,52.615,4.175000000000001,17.5,-62.97,75,"('ST EUSTATIUS', 'TEXEL')"
TAFELBAAI,TEXEL,-34.225,18.175,52.615,4.175000000000001,75,"('TAFELBAAI', 'TEXEL')"
CADIZ,CAVITE,36.53,-6.3,14.5,120.92,75,"('CADIZ', 'CAVITE')"
EL FERROL,RIO DE LA PLATA,43.0,-9.5,-35.0,-54.78,75,"('EL FERROL', 'RIO DE LA PLATA')"
ST GEORGE D'ELMINA,FORT AMSTERDAM,5.08,-1.34,6.05,-54.73,75,"('FORT AMSTERDAM', ""ST GEORGE D'ELMINA"")"
MANILLA,BATAVIA,14.65,119.62,-6.1,106.86,74,"('BATAVIA', 'MANILLA')"
TABLE BAY,DOWNS UK,-33.9,18.4,51.2,1.4,74,"('DOWNS UK', 'TABLE BAY')"
ST THOMAS (SAO TOME),PLYMOUTH,18.34,-64.93,50.35,-4.16,74,"('PLYMOUTH', 'ST THOMAS (SAO TOME)')"
NEW YORK,BUENOS AIRES,40.75,-73.97,-34.63,-58.33,74,"('BUENOS AIRES', 'NEW YORK')"
SPITHEAD,HAMOZE UK,50.525000000000006,-1.115,51.5,-0.1,74,"('HAMOZE UK', 'SPITHEAD')"
BASSE TERRE,BREST,16.23,-61.53,48.34,-5.385,74,"('BASSE TERRE', 'BREST')"
LA CORUÑA,PUERTO DE BRESTE,43.36,-8.36,48.4,-4.5,74,"('LA CORUÑA', 'PUERTO DE BRESTE')"
BASSE TERRE,SPITHEAD,16.23,-61.53,50.525000000000006,-1.115,74,"('BASSE TERRE', 'SPITHEAD')"
FORT ST DAVIDS ROAD,ST HELLENA,11.77,79.8,-15.95,-5.72,73,"('FORT ST DAVIDS ROAD', 'ST HELLENA')"
BAHIA DE TODOS LOS SANTOS,BATAVIA,-13.07,-38.48,-6.1,106.86,73,"('BAHIA DE TODOS LOS SANTOS', 'BATAVIA')"
MADEIRA,ANTIGUA,32.95,-15.88,17.12,-61.85,72,"('ANTIGUA', 'MADEIRA')"
BREST,LA MARTINIQUE,48.34,-5.385,14.64,-61.02,72,"('BREST', 'LA MARTINIQUE')"
NIEUWEDIEP,KAAP DE GOEDE HOOP,52.155,3.27,-34.12,18.23,72,"('KAAP DE GOEDE HOOP', 'NIEUWEDIEP')"
CAPE COMERIN,ST HELENA,8.06,77.55,-16.02,-5.08,71,"('CAPE COMERIN', 'ST HELENA')"
PORTSMOUTH,RIO DE JANEIRO,50.2,-1.58,-22.9,-43.16,71,"('PORTSMOUTH', 'RIO DE JANEIRO')"
ST SALVADOR,BATAVIA,-13.13,-38.2,-6.1,106.86,71,"('BATAVIA', 'ST SALVADOR')"
ST THOMAS,UK,17.96,-65.14500000000001,51.5,-0.1,71,"('ST THOMAS', 'UK')"
SAN FRANCISCO,VALPARAISO,37.5,-122.68,-33.08,-71.67,71,"('SAN FRANCISCO', 'VALPARAISO')"
CADIZ,HELLEVOETSLUIS,36.53,-6.3,51.81,4.08,71,"('CADIZ', 'HELLEVOETSLUIS')"
ROCHEFORT,CAP,46.515,-1.97,19.74,-72.19,71,"('CAP', 'ROCHEFORT')"
CEYLON,KAAP DE GOEDE HOOP,6.85,82.1,-34.12,18.23,71,"('CEYLON', 'KAAP DE GOEDE HOOP')"
CADIZ,RIO DE JANEIRO,36.53,-6.3,-22.9,-43.16,70,"('CADIZ', 'RIO DE JANEIRO')"
CALCUTTA,JAVA,20.47,87.27,-7.5,110.0,70,"('CALCUTTA', 'JAVA')"
ST MAARTEN,MIDDELBURG,17.715,-62.52,51.5,3.6,70,"('MIDDELBURG', 'ST MAARTEN')"
ST HELENS ROAD UK,SPITHEAD,51.5,-0.1,50.525000000000006,-1.115,70,"('SPITHEAD', 'ST HELENS ROAD UK')"
NOAHIWA,AMBON,-9.0,-140.08,-3.68,128.16,70,"('AMBON', 'NOAHIWA')"
RIO DE JANEIRO,CURACAO,-22.9,-43.16,12.21,-68.34,70,"('CURACAO', 'RIO DE JANEIRO')"
RIO DE JANEIRO,MANILA,-22.9,-43.16,14.15,120.5,70,"('MANILA', 'RIO DE JANEIRO')"
NAGASAKI,BATAVIA,32.75,129.88,-6.1,106.86,70,"('BATAVIA', 'NAGASAKI')"
SAN FRANCISCO,KEMA,37.5,-122.68,1.26,125.36,69,"('KEMA', 'SAN FRANCISCO')"
